USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root       138  0.0  0.0      0     0 ?        I<   14:43   0:00  \_ [sdhci]
root       139  0.0  0.0      0     0 ?        S    14:43   0:00  \_ [irq/130-mmc0]
root       141  0.0  0.0      0     0 ?        S    14:43   0:00  \_ [irq/51-GTCH7503]
root       142  0.0  0.0      0     0 ?        S    14:43   0:00  \_ [cros_ec_spi_hig]
root       144  0.0  0.0      0     0 ?        S    14:43   0:00  \_ [irq/126-chromeo]
root       145  0.0  0.0      0     0 ?        S    14:43   0:00  \_ [irq/116-chromeo]
root       147  0.0  0.0      0     0 ?        I<   14:43   0:00  \_ [cros_usbpd_log]
root       148  0.0  0.0      0     0 ?        I<   14:43   0:00  \_ [ipv6_addrconf]
root       167  0.0  0.0      0     0 ?        I<   14:43   0:00  \_ [cros_ec_pd_upda]
root       168  0.0  0.0      0     0 ?        I<   14:43   0:00  \_ [cros_ec_pd_upda]
root       170  0.0  0.0      0     0 ?        S    14:43   0:00  \_ [hwrng]
root       171  0.5  0.0      0     0 ?        S    14:43   0:15  \_ [irq/59-ELAN0000]
root       172  0.0  0.0      0     0 ?        I<   14:43   0:00  \_ [kdmflush]
root       173  0.0  0.0      0     0 ?        I<   14:43   0:00  \_ [kverityd]
root       174  0.0  0.0      0     0 ?        I<   14:43   0:00  \_ [ext4-rsv-conver]
root       180  0.0  0.0      0     0 ?        I<   14:43   0:00  \_ [kworker/0:1H-events_highpri]
root       190  0.0  0.0      0     0 ?        S<   14:43   0:00  \_ [loop0]
root       295  0.1  0.0      0     0 ?        S    14:43   0:03  \_ [jbd2/nvme0n1p1-]
root       296  0.0  0.0      0     0 ?        I<   14:43   0:00  \_ [ext4-rsv-conver]
root       300  0.0  0.0      0     0 ?        S    14:43   0:00  \_ [jbd2/nvme0n1p8-]
root       301  0.0  0.0      0     0 ?        I<   14:43   0:00  \_ [ext4-rsv-conver]
root       356  0.0  0.0      0     0 ?        S<   14:43   0:00  \_ [loop1]
root       358  0.0  0.0      0     0 ?        I<   14:43   0:00  \_ [kdmflush]
root       368  0.0  0.0      0     0 ?        I<   14:43   0:00  \_ [kcryptd_io/254:]
root       369  0.0  0.0      0     0 ?        I<   14:43   0:00  \_ [kcryptd/254:1]
root       370  0.0  0.0      0     0 ?        S    14:43   0:00  \_ [dmcrypt_write/2]
root       375  0.0  0.0      0     0 ?        I<   14:43   0:00  \_ [dio/nvme0n1p1]
